Station;Date;Annee;Cle;Mois;Jour;Saison;Partenaire;Province;Bassin
QU02OF3004;2018-07-11T10:55:00Z;2018;QU02OF3004_2018-07-11 10:55:00;7;11;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2018-07-19T10:45:00Z;2018;QU02OF3004_2018-07-19 10:45:00;7;19;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2018-07-25T11:05:00Z;2018;QU02OF3004_2018-07-25 11:05:00;7;25;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2018-07-31T10:45:00Z;2018;QU02OF3004_2018-07-31 10:45:00;7;31;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2018-08-08T11:00:00Z;2018;QU02OF3004_2018-08-08 11:00:00;8;8;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2018-08-15T10:45:00Z;2018;QU02OF3004_2018-08-15 10:45:00;8;15;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2018-08-22T10:50:00Z;2018;QU02OF3004_2018-08-22 10:50:00;8;22;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2018-08-29T10:00:00Z;2018;QU02OF3004_2018-08-29 10:00:00;8;29;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2018-09-05T10:05:00Z;2018;QU02OF3004_2018-09-05 10:05:00;9;5;Fall;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2019-05-27T00:00:00Z;2019;QU02OF3004_2019-05-27 00:00:00;5;27;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2019-06-04T00:00:00Z;2019;QU02OF3004_2019-06-04 00:00:00;6;4;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2019-06-11T00:00:00Z;2019;QU02OF3004_2019-06-11 00:00:00;6;11;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2019-06-18T00:00:00Z;2019;QU02OF3004_2019-06-18 00:00:00;6;18;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2019-06-25T00:00:00Z;2019;QU02OF3004_2019-06-25 00:00:00;6;25;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2019-07-02T00:00:00Z;2019;QU02OF3004_2019-07-02 00:00:00;7;2;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2019-07-09T00:00:00Z;2019;QU02OF3004_2019-07-09 00:00:00;7;9;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2019-07-16T00:00:00Z;2019;QU02OF3004_2019-07-16 00:00:00;7;16;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2019-07-23T00:00:00Z;2019;QU02OF3004_2019-07-23 00:00:00;7;23;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2019-07-30T00:00:00Z;2019;QU02OF3004_2019-07-30 00:00:00;7;30;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2019-08-06T00:00:00Z;2019;QU02OF3004_2019-08-06 00:00:00;8;6;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
